"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
205,12/31/2025 0:00:00,112,0,0,0,0,0,0,5658299,0,0,0,0,0,0,0,21397665,0,0,0,0,0,0,0,0,0,202834,0,0,0,0,0,0,0,14500,31532064,0,0,0,0,4461600,14,12,0,0,0,0,1,0,1,0,14,11,26,0,1,12,11,1,26,991,410,0,0,0,0,0,0,45
216,12/31/2025 0:00:00,116,0,0,0,0,0,0,2751527,0,0,0,0,0,0,0,8257628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632659,0,0,644817,13540902,0,0,0,0,1254271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,114,0,0,0,0,0,0,4
220,12/31/2025 0:00:00,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
224,12/31/2025 0:00:00,119,0,0,0,0,0,0,2620154,0,0,0,0,0,0,0,4659848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70304,0,0,0,9141660,0,0,0,0,1791354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,214,2,0,0,0,0,0,302
227,12/31/2025 0:00:00,121,0,0,0,0,0,0,3098469429,0,0,0,0,0,0,0,7231890931,0,0,0,0,0,0,0,0,0,48933255,0,0,0,0,134867192,0,0,346048643,10811276195,0,0,0,0,0,390,5,0,0,0,0,3,0,23,5,37,5,42,353,0,2,0,353,395,33181,41695,3,0,0,0,0,0,52890
233,12/31/2025 0:00:00,124,0,0,0,0,0,0,1693974,0,0,0,0,0,0,0,34608521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608138,0,0,0,39527633,0,0,0,0,1617000,0,11,0,0,0,0,0,0,0,0,0,11,11,0,0,0,11,0,11,555,238,0,0,0,0,0,0,220
234,12/31/2025 0:00:00,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4440561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4440561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,36,0,0,0,0,0,0,99
240,12/31/2025 0:00:00,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8619625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9175335,0,0,0,0,555710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,392,0,0,0,0,0,0,75
242,12/31/2025 0:00:00,129,0,0,0,0,0,0,1234879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1739422,4900864,0,0,0,0,1926563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,108,0,0,0,0,0,0,791
256,12/31/2025 0:00:00,136,0,0,0,0,0,0,8706382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3356846,0,0,300000,14272074,0,0,0,0,1908846,46,43,0,0,0,0,6,0,16,33,46,43,89,0,0,21,0,0,89,240,296,0,0,0,10,0,10,184
