"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
66625,12/31/2025 0:00:00,20847,0,0,179965,0,1,0,45892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18808,0,0,0,18808,0,0,0,0,0,12877974,0,0,0,0,0,0,0,0,01/01/2023,39760,14780477,0,0,0,0,0,0,0,0,0,0,0,109823,0,0,0,0,0,0,0,0,0,0
66633,12/31/2025 0:00:00,20855,0,0,1338340,0,1,0,353301,0,0,0,0,0,0,0,0,0,0,0,0,4942935,16159175,0,0,0,21102110,0,0,0,0,0,0,0,-845458,0,234044,0,0,0,234044,0,0,0,0,3438,150540811,0,0,0,0,0,0,0,0,Fiscal Year 2023,1345270,183633545,0,0,0,0,0,0,0,0,0,0,0,536082,0,0,36028,0,0,0,0,0,0,0
66637,12/31/2025 0:00:00,20859,0,0,1063636,0,1,0,1001772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,250000,0,0,0,1000000,0,0,0,787540,0,0,0,787540,0,0,0,0,5554,44959502,0,0,0,0,0,0,0,0,01/01/2023,41417,58630929,0,0,0,0,0,0,0,0,0,0,0,542822,0,0,0,0,0,0,0,0,0,0
66638,12/31/2025 0:00:00,20860,0,0,3479887,275833,1,0,1963111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4016691,6626424,16913889,17787874,1705149,47050027,0,0,0,1211627,0,0,-1236,1210391,0,0,0,0,1407,262040452,0,0,0,0,0,0,0,0,01/01/2023,559608,285840190,0,0,0,0,0,0,0,0,0,0,0,146000,0,0,0,0,0,0,0,0,0,0
66640,12/31/2025 0:00:00,20862,0,0,673104,393735,1,0,791609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597231,0,0,0,597231,0,0,0,0,0,36446908,0,0,0,0,0,0,0,0,01/01/2023,333038,41147434,0,0,0,0,0,0,0,0,0,0,0,4532,0,0,0,0,0,0,0,0,0,0
66642,12/31/2025 0:00:00,20864,0,651074235,13603610,68699,1,0,8543816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6559018,0,0,-3575,6555443,0,0,0,0,0,5560778828,2,640879,480800,0,0,0,1,565,12/01/2023,664478,6370578231,0,0,0,0,0,0,0,0,0,0,0,28672268,0,0,0,0,0,0,0,0,0,0
66652,12/31/2025 0:00:00,20874,0,1681480,3423873,1465927,1,0,1653143,0,0,0,0,0,0,0,0,0,0,0,0,2469140,5926148,0,1064879,0,9460167,0,0,0,0,0,0,0,-318798,0,1040700,0,0,5026,1045726,0,0,0,0,5026,341140033,0,0,0,0,0,0,0,0,10/01/2023,511866,374679196,0,0,0,0,0,0,0,0,0,0,0,1609265,0,0,0,0,0,0,0,0,0,0
66660,12/31/2025 0:00:00,20882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194302,0,0,0,0,0,0,0,0,,0,327515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66662,12/31/2025 0:00:00,20884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1940200,0,0,0,0,0,0,0,0,,0,2319420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66663,12/31/2025 0:00:00,20885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718855,0,0,0,0,0,0,0,0,,0,891124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
